match_link,match_datetime,team_scoring,team_scoring_name,scorer,goal_time_label,goal_time,is_own_goal,is_penalty,is_during_extra
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950058/,2002-06-21,home,Germany,Ballack, 39',39,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950061/,2002-06-25,home,Germany,Ballack, 75',75,False,False,False
https://web.archive.org/web/20200929151944/https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950062/,2002-06-26,home,Brazil,Ronaldo, 49',49,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950063/,2002-06-29,home,South Korea,Lee Eul-yong, 9',9,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950063/,2002-06-29,home,South Korea,Song Chong-gug, 90+3',93,False,False,True
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950063/,2002-06-29,away,Turkey,Şükür, 1',1,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950063/,2002-06-29,away,Turkey,İlhan, 13',13,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950063/,2002-06-29,away,Turkey,İlhan,32',32,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950064/,2002-06-30,away,Brazil,Ronaldo, 67',67,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950064/,2002-06-30,away,Brazil,Ronaldo,79',79,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950010/,2002-06-03,home,Brazil,Ronaldo, 50',50,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950010/,2002-06-03,home,Brazil,Rivaldo, 87' (pen.),87,False,True,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950010/,2002-06-03,away,Turkey,Hasan Şaş, 45+2',47,False,False,True
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950012/,2002-06-04,away,Costa Rica,Gómez, 61',61,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950012/,2002-06-04,away,Costa Rica,Wright, 65',65,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950026/,2002-06-08,home,Brazil,Roberto Carlos, 15',15,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950026/,2002-06-08,home,Brazil,Rivaldo, 32',32,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950026/,2002-06-08,home,Brazil,Ronaldinho, 45' (pen.),45,False,True,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950026/,2002-06-08,home,Brazil,Ronaldo, 55',55,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950028/,2002-06-09,home,Costa Rica,Parks, 86',86,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950028/,2002-06-09,away,Turkey,Emre B., 56',56,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950041/,2002-06-13,home,Costa Rica,Wanchope, 39',39,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950041/,2002-06-13,home,Costa Rica,Gómez, 56',56,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950041/,2002-06-13,away,Brazil,Ronaldo, 10',10,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950041/,2002-06-13,away,Brazil,Ronaldo,13',13,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950041/,2002-06-13,away,Brazil,Edmílson, 38',38,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950041/,2002-06-13,away,Brazil,Rivaldo, 62',62,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950041/,2002-06-13,away,Brazil,Júnior, 64',64,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950042/,2002-06-13,home,Turkey,Hasan Şaş, 6',6,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950042/,2002-06-13,home,Turkey,Bülent, 9',9,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950042/,2002-06-13,home,Turkey,Davala, 85',85,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950001/,2002-05-31,away,Senegal,Bouba Diop, 30',30,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950003/,2002-06-01,home,Uruguay,Rodríguez, 47',47,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950003/,2002-06-01,away,Denmark,Tomasson, 45',45,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950003/,2002-06-01,away,Denmark,Tomasson,83',83,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950020/,2002-06-06,home,Denmark,Tomasson, 16' (pen.),16,False,True,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950020/,2002-06-06,away,Senegal,Diao, 52',52,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950033/,2002-06-11,home,Denmark,Rommedahl, 22',22,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950033/,2002-06-11,home,Denmark,Tomasson, 67',67,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950034/,2002-06-11,home,Senegal,Fadiga, 20' (pen.),20,False,True,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950034/,2002-06-11,home,Senegal,Bouba Diop, 26',26,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950034/,2002-06-11,home,Senegal,Bouba Diop,38',38,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950034/,2002-06-11,away,Uruguay,Morales, 46',46,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950034/,2002-06-11,away,Uruguay,Forlán, 69',69,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950034/,2002-06-11,away,Uruguay,Recoba, 88' (pen.),88,False,True,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950007/,2002-06-02,home,Argentina,Batistuta, 63',63,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950005/,2002-06-02,home,England,Campbell, 24',24,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950005/,2002-06-02,away,Sweden,Alexandersson, 59',59,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950021/,2002-06-07,home,Sweden,Larsson, 35',35,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950021/,2002-06-07,home,Sweden,Larsson,63' (pen.),63,False,True,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950021/,2002-06-07,away,Nigeria,Aghahowa, 27',27,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950023/,2002-06-07,away,England,Beckham, 44' (pen.),44,False,True,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950037/,2002-06-12,home,Sweden,A. Svensson, 59',59,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950037/,2002-06-12,away,Argentina,Crespo, 88',88,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950002/,2002-06-01,home,Republic of Ireland,Holland, 52',52,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950002/,2002-06-01,away,Cameroon,M'Boma, 39',39,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950004/,2002-06-01,home,Germany,Klose, 20',20,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950004/,2002-06-01,home,Germany,Klose,25',25,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950004/,2002-06-01,home,Germany,Klose,70',70,False,False,False
https://www.fifa.com/worldcup/archive/koreajapan2002/matches/match/43950004/,2002-06-01,home,Germany,Ballack, 40',40,False,False,False
